자품목코드,품명,규격,단위,계정,매입수량,기초재고,현재고,모품목코드,모품목품명,모품목규격,단위.1,매출수량,기초재고.1,소요원수,매출환산수량,기초환산수량,현재고.1,투입율
,,Sub Total,,,,,,,,,,37734,26753,,37734.0,26753.0,1072,
GH63-20633A,PROTECTOR VINYL-FRONT DECO MAIN TB,,EA,부자재,19000.0,0.0,0.0,GH98-47685A,SM-F936U ASSY-FRONT DECO MAIN,BLACK,EA,37734,26753,2.0,75468.0,53506.0,1072,47640.183895
,,Sub Total,,,,,,,,,,37734,26753,,75468.0,53506.0,1072,
GH63-20672A,SM-F721U PROTECT VINYL FRONT DECO L,ST-850ASFL,EA,부자재,60000.0,0.0,0.0,GH98-47751A,SM-F721U ASSY-FRONT DECO MAIN,BLACK,EA,76022,22849,1.0,76022.0,22849.0,3708,49464.619184
,,Sub Total,,,,,,,,,,76022,22849,,76022.0,22849.0,3708,
GH63-20673A,SM-F721U PROTECT VINYL FRONT DECO R,ST-850ASFL,EA,부자재,56000.0,0.0,0.0,GH98-47751A,SM-F721U ASSY-FRONT DECO MAIN,BLACK,EA,76022,22849,1.0,76022.0,22849.0,3708,49464.591983
,,Sub Total,,,,,,,,,,76022,22849,,76022.0,22849.0,3708,
GH63-20674A,SM-F721U PROTECT VINYL RCV,ST-850ASFL,EA,부자재,57000.0,0.0,0.0,GH98-47751A,SM-F721U ASSY-FRONT DECO MAIN,BLACK,EA,76022,22849,1.0,76022.0,22849.0,3708,49464.599141
,,Sub Total,,,,,,,,,,76022,22849,,76022.0,22849.0,3708,
GH67-05420A,SM-F721U RUBBER DAMPER,이중사출,EA,부자재,60000.0,0.0,0.0,GH98-47965A,SM-F721U ASSY-FRONT DECO SUB_KOR,BLACK,EA,66862,33363,2.0,133724.0,66726.0,6435,93924.8879
,,Sub Total,,,,,,,,,,66862,33363,,133724.0,66726.0,6435,
PC-00953,IH-1047/K2261,,KG,원자재,2000.0,0.0,575.0,GH98-48294A,SM-F731U ASSY FRONT DECO BTM,BLACK,EA,20706,147768,0.0066,136.6596,975.2688,1472,-149103.828034
PC-00953,IH-1047/K2261,,KG,원자재,2000.0,0.0,575.0,GH98-48293A,SM-F731U ASSY FRONT DECO TOP,BLACK,EA,21067,128070,0.0062,130.6154,794.034,1995,-129934.781617
PC-00953,IH-1047/K2261,,KG,원자재,2000.0,0.0,575.0,GH98-47965A,SM-F721U ASSY-FRONT DECO SUB_KOR,BLACK,EA,66862,33363,0.00435,290.8497,145.12905,6435,-39507.222864
PC-00953,IH-1047/K2261,,KG,원자재,2000.0,0.0,575.0,GH98-47685A,SM-F936U ASSY-FRONT DECO MAIN,BLACK,EA,37734,26753,0.0068,256.5912,181.9204,1072,-27568.49976
PC-00953,IH-1047/K2261,,KG,원자재,2000.0,0.0,575.0,GH98-47751A,SM-F721U ASSY-FRONT DECO MAIN,BLACK,EA,76022,22849,0.00432,328.41504,98.70768,3708,-26228.634313
PC-00953,IH-1047/K2261,,KG,원자재,2000.0,0.0,575.0,GH98-47686A,SM-F936U ASSY-FRONT DECO SUB,BLACK,EA,38486,35705,0.0066,254.0076,235.653,1127,-36578.110226
,,Sub Total,,,,,,,,,,260877,394508,,1397.13854,2430.71293,15809,
