No.,입고일,거래처,거래처명,품목군,품목코드,품목정보,구분,입고구분,매입구분,화폐,입고량,단가,금액,환율,환산금액,정산구분,정산수량,입고창고,입고전표번호,접수번호,DO번호,비고,사업장,최종수정자,최종수정일시,등록프로그램
894.0,20240131.0,1027.0,태령기업,Tab S7,PCM-B474-00,TAB S7 FRONT BODY 도장 ◈ (버핑(P/L LINE 사포) / SF 4COAT / 삼성 로고 인쇄) ◈ (Black),정상,외주가공,국내,KRW,1121,733.0,821693,1.0,821693,정산완료,1121.0,제품창고,O1202401310082,PA202401310048,DO202402010068,,㈜삼광,김태완,20240201160137.0,수입검사등록확인
895.0,20240131.0,1027.0,태령기업,Tab S7,PCM-B474-00,TAB S7 FRONT BODY 도장 ◈ (버핑(P/L LINE 사포) / SF 4COAT / 삼성 로고 인쇄) ◈ (Black),정상,외주가공,국내,KRW,8400,733.0,6157200,1.0,6157200,정산완료,8400.0,제품창고,O1202401310059,PA202401300026,DO202401300030,,㈜삼광,김태완,20240131170226.0,수입검사등록확인
896.0,20240131.0,1027.0,태령기업,Tab S7,PCM-B474-01,TAB S7 FRONT BODY 도장 ◈ (버핑(P/L LINE 사포) / SF 4COAT / 삼성 로고 인쇄) ◈ (SILVER),정상,외주가공,국내,KRW,161,733.0,118013,1.0,118013,정산완료,161.0,제품창고,O1202401310083,PA202401310048,DO202402010069,,㈜삼광,김태완,20240201160137.0,수입검사등록확인
897.0,20240131.0,1027.0,태령기업,Tab S7,PNO-A425-00,TAB S7 KNOB 도장 ◈ (SF 4COAT) ◈ (Black),정상,외주가공,국내,KRW,794,104.0,82576,1.0,82576,정산완료,794.0,제품창고,O1202401310088,PA202401310048,DO202402010074,,㈜삼광,김태완,20240201160138.0,수입검사등록확인
898.0,20240131.0,1027.0,태령기업,Tab S7,PNO-A425-00,TAB S7 KNOB 도장 ◈ (SF 4COAT) ◈ (Black),정상,외주가공,국내,KRW,8000,104.0,832000,1.0,832000,정산완료,8000.0,제품창고,O1202401310028,PA202401300028,DO202401300032,,㈜삼광,품질공용,20240131161736.0,수입검사등록확인
899.0,20240131.0,1027.0,태령기업,TAB S9 FE,PCB-B683-02,TAB S9 FE REAR BODY 도장 ◈ (UT 3COAT) ◈ (GRAY),정상,외주가공,국내,KRW,10000,112.0,1120000,1.0,1120000,정산완료,10000.0,제품창고,O1202401310024,PA202401310035,DO202401310041,,㈜삼광,품질공용,20240131161736.0,수입검사등록확인
900.0,20240131.0,1027.0,태령기업,TAB S9 FE,PCB-B683-02,TAB S9 FE REAR BODY 도장 ◈ (UT 3COAT) ◈ (GRAY),정상,외주가공,국내,KRW,10000,112.0,1120000,1.0,1120000,정산완료,10000.0,제품창고,O1202401310025,PA202401300030,DO202401300034,,㈜삼광,품질공용,20240131161736.0,수입검사등록확인
901.0,20240131.0,1027.0,태령기업,TAB S9 FE,PCB-B683-03,TAB S9 FE REAR BODY 도장 ◈ (UT 3COAT) ◈ (LIGHT GREEN),정상,외주가공,국내,KRW,2635,112.0,295120,1.0,295120,정산완료,2635.0,제품창고,O1202401310080,PA202401310048,DO202402010066,,㈜삼광,김태완,20240201160137.0,수입검사등록확인
902.0,20240131.0,1027.0,태령기업,TAB S9 FE,PCB-B683-03,TAB S9 FE REAR BODY 도장 ◈ (UT 3COAT) ◈ (LIGHT GREEN),정상,외주가공,국내,KRW,5000,112.0,560000,1.0,560000,정산완료,5000.0,제품창고,O1202401310026,PA202401300033,DO202401300037,,㈜삼광,품질공용,20240131161736.0,수입검사등록확인
903.0,20240131.0,1027.0,태령기업,TAB S9 FE,PCB-B683-04,TAB S9 FE REAR BODY 도장 ◈ (UT 3COAT) ◈ (LIGHT PINK),정상,외주가공,국내,KRW,602,112.0,67424,1.0,67424,정산완료,602.0,제품창고,O1202401310081,PA202401310048,DO202402010067,,㈜삼광,김태완,20240201160137.0,수입검사등록확인
